name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
Apollo Bagels - Williamsburg,da6d7d02-91bb-4087-b408-02dda2998b8a,true,true,8.875,1,13,27,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:10:21.446Z
Aunts et Uncles,1ef81e10-6153-4ef5-bf6a-ad2b9fc5e65d,true,true,8.875,1,28,1,,mass run,2026-09-09T01:03:36.387Z
Backyard Bowls - Beverly Grove,15d3780d-9a25-4ecc-af25-2dffe9d92992,true,true,0,1,18,2,backyardbowls,mass run,2026-09-09T01:50:24.343Z
Backyard Bowls - Santa Monica,5f8e5496-f053-4cb4-8c5c-4c9a3f0c1742,true,true,0,1,18,3,backyardbowls,chain run,2026-09-09T11:52:29.797Z
Beatnic - Williamsburg,824bd847-1659-4134-b491-d50e4f003b7e,false,false,8.875,1,30,2,,mass run,2026-09-09T01:50:43.531Z
Best Pizza - Williamsburg,f7c42fe3-e0c1-4a12-8525-b2a0124aa6cc,true,true,8.875,2,37,1,,mass run,2026-09-09T01:03:48.353Z
Binge Biryani - Long Island City,e1391394-dba4-4180-b216-f92a92b29950,true,true,8.875,1,8,1,bingebiryani,mass run,2026-09-09T01:03:55.666Z
Bobby U’s BBQ,70bb75de-a637-46f0-8d5a-4a36dc148557,false,false,6.625,1,18,2,z1syjb,named conversion,2026-09-09T12:54:46.023Z
Botte - Astoria,58af4209-01c0-41e5-aed0-e96a9d0d9cca,true,true,8.875,1,40,1,,mass run,2026-09-09T01:04:04.432Z
Botte - Brooklyn,a9822f03-a991-4c06-bce0-b13dacc4583b,true,true,8.875,1,39,1,,mass run,2026-09-09T01:04:10.703Z
Botte - UES,36142ac2-6fe4-4b22-ab60-601f2984966a,true,true,8.875,1,39,1,,mass run,2026-09-09T01:04:17.257Z
Brooklyn Dumpling Shop - Midtown,1e2ee4f7-51bb-4e7b-bc29-6e0c23af7bb8,true,true,8.875,1,27,1,brooklyndumplingshop,mass run,2026-09-09T01:10:58.091Z
Brooklyn Dumpling Shop - UES,f1abc369-27cd-4a49-a432-0df5eacec420,true,true,8.875,1,27,1,brooklyndumplingshop,mass run,2026-09-09T01:11:36.214Z
Brown Bag Sandwich Co,567a57eb-17b1-433c-bb46-48d7e373163e,true,true,8.875,2,11,1,,mass run,2026-09-09T01:11:42.811Z
BurgerFi - Arlington,95339b04-6f1d-4c7a-ac35-4955a9dfd5c3,true,true,11,1,17,4,kedj1z,chain run,2026-09-09T11:39:09.338Z
BurgerFi - Bowie,f647ba53-390e-4cf5-bc5b-9caaf40417fa,true,true,6,1,17,1,kedj1z,mass run,2026-09-09T01:11:54.659Z
BurgerFi - Boynton Beach,af752a22-622e-4a59-9a33-2a976f563900,true,true,7.5,1,19,3,burgerfi,chain run,2026-09-09T11:39:21.180Z
BurgerFi - LBTS,82648de2-b1fc-46ee-8551-d461e0c92d76,true,true,7.5,1,18,3,burgerfi,chain run,2026-09-09T11:39:35.682Z
BurgerFi - O Town/Palm Parkway,68afa59c-82b1-4e49-b21b-a2dff8160743,true,true,6.5,1,18,1,burgerfi,mass run,2026-09-09T01:12:11.848Z
BurgerFi - Pompano Beach Pier,a96b77c2-9ffb-45fe-aa7a-22a86ce9b695,true,true,7.5,1,18,3,burgerfi,chain run,2026-09-09T11:38:56.156Z
